website_name,url,field_name,field_type,locator_value,locator_type,optional,rank
FactorTrust,https://factortrust.com/consumer/optout.aspx,opt-in,radio,ContentPlaceHolder1_rbtnOptIn,ID,FALSE,1
FactorTrust,https://factortrust.com/consumer/optout.aspx,submit,button,ContentPlaceHolder1_btnConfirm,ID,FALSE,2
FactorTrust,https://factortrust.com/consumer/optout.aspx,first-name,input,ContentPlaceHolder1_txtFirstName,ID,FALSE,3
FactorTrust,https://factortrust.com/consumer/optout.aspx,last-name,input,ContentPlaceHolder1_txtLastName,ID,FALSE,4
FactorTrust,https://factortrust.com/consumer/optout.aspx,ssn_part1,input,ContentPlaceHolder1_ctlSsn_txtThree,ID,FALSE,5
FactorTrust,https://factortrust.com/consumer/optout.aspx,ssn_part2,input,ContentPlaceHolder1_ctlSsn_txtTwo,ID,FALSE,6
FactorTrust,https://factortrust.com/consumer/optout.aspx,ssn_part3,input,ContentPlaceHolder1_ctlSsn_txtFour,ID,FALSE,7
FactorTrust,https://factortrust.com/consumer/optout.aspx,dob_month,select,ContentPlaceHolder1_ctlDob_lstMonth,ID,FALSE,8
FactorTrust,https://factortrust.com/consumer/optout.aspx,dob_day,select,ContentPlaceHolder1_ctlDob_lstDay,ID,FALSE,9
FactorTrust,https://factortrust.com/consumer/optout.aspx,dob_year,input,ContentPlaceHolder1_ctlDob_txtYear,ID,FALSE,10
FactorTrust,https://factortrust.com/consumer/optout.aspx,address-1,input,ContentPlaceHolder1_txtAddress1,ID,FALSE,11
FactorTrust,https://factortrust.com/consumer/optout.aspx,address-2,input,ContentPlaceHolder1_txtAddress2,ID,FALSE,12
FactorTrust,https://factortrust.com/consumer/optout.aspx,city,input,ContentPlaceHolder1_txtCity,ID,FALSE,13
FactorTrust,https://factortrust.com/consumer/optout.aspx,state,select,ContentPlaceHolder1_ctlStates_DropDownList1,ID,FALSE,14
FactorTrust,https://factortrust.com/consumer/optout.aspx,zip,input,ContentPlaceHolder1_txtZip,ID,FALSE,15
FactorTrust,https://factortrust.com/consumer/optout.aspx,email,input,ContentPlaceHolder1_txtEmail,ID,FALSE,16
FactorTrust,https://factortrust.com/consumer/optout.aspx,final-submit,button,ContentPlaceHolder1_btnConfirm,ID,FALSE,17
AMEX Prequalify,https://card.americanexpress.com/d/pre-qualified-offers/,first-name,input,firstName,ID,FALSE,18
AMEX Prequalify,https://card.americanexpress.com/d/pre-qualified-offers/,last-name,input,lastName,ID,FALSE,19
AMEX Prequalify,https://card.americanexpress.com/d/pre-qualified-offers/,address-1,input,address1,ID,FALSE,20
AMEX Prequalify,https://card.americanexpress.com/d/pre-qualified-offers/,address-2,input,div.-mx-16:nth-child(3) > div:nth-child(2) > input:nth-child(1),CSS_SELECTOR,TRUE,21
AMEX Prequalify,https://card.americanexpress.com/d/pre-qualified-offers/,city,input,city,ID,FALSE,22
AMEX Prequalify,https://card.americanexpress.com/d/pre-qualified-offers/,state,select,/html/body/div/div/main/div/section/div/div/div/div[1]/form/div[3]/div[2]/select,XPATH,FALSE,23
AMEX Prequalify,https://card.americanexpress.com/d/pre-qualified-offers/,zip,input,zipCode,ID,FALSE,24
AMEX Prequalify,https://card.americanexpress.com/d/pre-qualified-offers/,ssn_part3,input,ssn,ID,FALSE,25
AMEX Prequalify,https://card.americanexpress.com/d/pre-qualified-offers/,income,input,income,ID,FALSE,26
AMEX Prequalify,https://card.americanexpress.com/d/pre-qualified-offers/,final-submit,button,button.styles_btn__RsfY1,CSS_SELECTOR,FALSE,27
Capital One Prequalify,https://www.capitalone.com/apply/credit-cards/preapprove/?landingPage=ehpnav,submit,button,.next-button-container > button:nth-child(1),CSS_SELECTOR,FALSE,28
Capital One Prequalify,https://www.capitalone.com/apply/credit-cards/preapprove/?landingPage=ehpnav,first-name,input,FIRST_NAME,ID,FALSE,29
Capital One Prequalify,https://www.capitalone.com/apply/credit-cards/preapprove/?landingPage=ehpnav,last-name,input,LAST_NAME,ID,FALSE,30
Capital One Prequalify,https://www.capitalone.com/apply/credit-cards/preapprove/?landingPage=ehpnav,submit,button,acquisition-name-section.ng-star-inserted > acquisition-section-container:nth-child(1) > div:nth-child(3) > div:nth-child(2) > button:nth-child(1),CSS_SELECTOR,FALSE,31
Capital One Prequalify,https://www.capitalone.com/apply/credit-cards/preapprove/?landingPage=ehpnav,home-address,input,PHYSICAL_COMBINED_ADDRESS,ID,FALSE,32
Capital One Prequalify,https://www.capitalone.com/apply/credit-cards/preapprove/?landingPage=ehpnav,submit,button,.grv-padding--none,CSS_SELECTOR,FALSE,33
Capital One Prequalify,https://www.capitalone.com/apply/credit-cards/preapprove/?landingPage=ehpnav,email,input,EMAIL,ID,FALSE,34
Capital One Prequalify,https://www.capitalone.com/apply/credit-cards/preapprove/?landingPage=ehpnav,phone-number,input,PHONE_NUMBER,ID,FALSE,35
Capital One Prequalify,https://www.capitalone.com/apply/credit-cards/preapprove/?landingPage=ehpnav,submit,button,acquisition-contact-section.ng-star-inserted > acquisition-section-container:nth-child(1) > div:nth-child(3) > div:nth-child(2) > button:nth-child(1),CSS_SELECTOR,FALSE,36
Capital One Prequalify,https://www.capitalone.com/apply/credit-cards/preapprove/?landingPage=ehpnav,employment-status,radio,EMPLOYMENT:EMP,ID,FALSE,37
Capital One Prequalify,https://www.capitalone.com/apply/credit-cards/preapprove/?landingPage=ehpnav,occupation,input,OCCUPATION,ID,FALSE,38
Capital One Prequalify,https://www.capitalone.com/apply/credit-cards/preapprove/?landingPage=ehpnav,submit,button,acquisition-employment-section.ng-star-inserted > acquisition-section-container:nth-child(1) > div:nth-child(2) > div:nth-child(2) > button:nth-child(1),CSS_SELECTOR,FALSE,39
Capital One Prequalify,https://www.capitalone.com/apply/credit-cards/preapprove/?landingPage=ehpnav,income,input,INCOME,ID,FALSE,40
Capital One Prequalify,https://www.capitalone.com/apply/credit-cards/preapprove/?landingPage=ehpnav,rent,input,HOUSING,ID,FALSE,41
Capital One Prequalify,https://www.capitalone.com/apply/credit-cards/preapprove/?landingPage=ehpnav,submit,button,acquisition-finances-section.ng-star-inserted > acquisition-section-container:nth-child(1) > div:nth-child(2) > div:nth-child(2) > button:nth-child(1),CSS_SELECTOR,FALSE,42
Capital One Prequalify,https://www.capitalone.com/apply/credit-cards/preapprove/?landingPage=ehpnav,bank-account,radio,BANK_ACCOUNT:CAS,ID,FALSE,43
